PSA
BAC
CTXS
TXN
EXPD
WU
BBY
RF
GS
NEE
MSI
USB
ALL
MS
EA
MRK
GWW
INTC
DVA
MSFT
TROW
PG
MA
BMY
A
TGT
AMGN
V
CHRW
TFC
CLX
ATVI
BIIB
GOOGL
SWKS
ZTS
CSCO
KEYS
MCD
KMB
WFC
T
HD
AAPL
JPM
HUM
UPS
HBAN
ROK
FAST
TSCO
INTU
JNJ
DGX
AVGO
HPQ
CARR
CDNS
SO
MAS
GOOG
SBUX
HPE
VZ
KEY
FBHS
AMP
EIX
POOL
EBAY
KO
MTD
WAT
STT
CL
ZBRA
ABBV
DLR
MXIM
BLL
ICE
LRCX
PEAK
KR
RMD
PGR
PRU
AMCR
NVDA
GILD
ADP
COST
QCOM
ADBE
FRC
MET
PAYX
NKE
ADI
ORCL
ALLE
IQV
IVZ
IBM
CTSH
UNH
SIVB
DHR
PEP
REGN
MMC
TRV
EQR
CMS
LOW
HIG
SPGI
AMAT
OMC
ACN
AMD
CMI
PFE
CGNX
BKNG
MKC
CERN
HOLX
TT
NLOK
STE
SCHW
CPB
FISV
LLY
ECL
RHI
TTWO
ADSK
EL
C
UNP
APTV
AKAM
NWL
COF
FFIV
XLNX
NRG
ES
AMZN
QRVO
ANTM
CRM
CFG
VFC
ABT
DFS
AJG
CBRE
KSU
JNPR
WRB
GRMN
PHM
CME
BWA
LH
WST
HLT
DTE
CAH
EQIX
SJM
K
NEM
HST
HRL
DRI
INFO
JKHY
NTAP
HCA
BXP
AWK
PYPL
AMT
PEG
MMM
VAR
VRTX
VTR
BAX
CNC
WM
IFF
AFG
SYK
FB
NTRS
TEL
GIS
PPG
CMCSA
HAS
TSLA
KMX
HSY
BLK
BKR
FIS
LDOS
DXCM
AZO
CAT
AON
MCHP
GLW
SPG
ENPH
TDG
WLTW
ALXN
UDR
NVR
MCO
HII
AVY
AFL
DRE
ILMN
FDX
AIG
LIN
OKE
ITW
PNC
TRMB
CI
FDS
ED
DISCK
ETSY
MKTX
JAZZ
IP
CSX
WBA
PH
FITB
AXP
OC
LW
VRSN
HWM
IDXX
KMI
DHI
TMO
CCI
BEN
EHC
VLO
NFLX
REG
ETR
WELL
SBAC
ALGN
KLAC
EW
DIS
LHX
VNO
BK
TER
WTRG
DE
MOS
YUM
PAYC
XYL
ISRG
PCAR
EXR
APD
DUK
COO
SRE
ALLY
PLD
RNR
COP
TJX
ROP
PSX
MPC
XOM
BFB
URI
AIZ
CHTR
UHS
ULTA
NSC
JCI
LYB
SHW
LII
HZNP
DPZ
GL
HSIC
PFG
TDY
EXPE
MOH
SYY
CDW
EXC
LNC
CVX
BR
CVS
MU
NOW
CABO
IEX
ATO
COG
MDT
EMR
FTNT
SLB
TXT
SMG
TMUS
CTVA
ROST
CIEN
BDX
HES
SNA
ANET
DOV
BRO
LUMN
BRKB
CB
IRM
CAG
SEE
CTAS
FTV
CPRT
CRWD
SEIC
CPT
XRAY
APH
ADM
NDAQ
WSM
TWTR
CTLT
RGA
ANSS
FICO
TDOC
MDLZ
WHR
CHD
AEP
INCY
SNPS
HON
OTIS
LKQ
ODFL
W
VMW
PTC
MPWR
F
DISCA
TDS
VOYA
MO
BHF
SYF
ABC
PNR
MSCI
RJF
UGI
ORLY
MASI
ZION
ALB
STLD
RSG
WY
CACI
FLT
MHK
LITE
ESS
PKG
ABMD
J
PWR
TFX
MCK
LNT
AVB
GPN
VIAC
GPC
WMB
L
RCL
NUE
EMN
HRC
NWSA
CDAY
OXY
BIO
AOS
AGO
JBHT
OKTA
NET
RTX
RS
ARE
DD
CINF
MGM
HUBS
GE
CBOE
LMT
MTB
MPW
SF
CBSH
WEC
ROL
NOC
DG
UNM
OHI
TDC
EFX
PNW
CHE
GNTX
AEE
HUBB
WMT
XPO
IPG
ZBH
VTRS
RNG
AGNC
MLM
CNP
EVR
XEL
DOW
AAP
PKI
TYL
SFM
RE
SPLK
TAP
GNRC
EOG
BMRN
GM
NYCB
FHN
O
BC
TSN
ETN
LEN
FLO
ATH
D
CMG
KIM
LSTR
AMED
CASY
MRNA
PTON
--
WORK
WSO
RGLD
Z
ATR
WRK
PPL
VMC
AMH
UTHR
SNV
THG
MSM
PXD
PINS
HRB
COR
TTC
WTFC
CSL
WDC
AGCO
IPGP
FCX
EQH
MAR
BAH
MANH
PRI
PBCT
FMC
SWK
EXEL
RPM
FE
SRC
MTCH
EVRG
CDK
CF
WEX
LULU
MAA
CRL
CMA
PM
OGE
IT
GDDY
PSB
CREE
SAIC
CE
DLTR
COLM
GRUB
SEDG
FRT
ENR
MRO
NXPI
ON
VRSK
NDSN
FOXA
DVN
NI
SLG
PRAH
LB
STX
HAE
LSI
HFC
TPX
TREX
ZM
LUV
MDB
SCI
AME
LNG
WBS
LAMR
BSX
FAF
KHC
TWLO
FR
MRVL
TCF
ERIE
MTN
LEA
PNFP
PRGO
LOPE
ETRN
CONE
REXR
TECH
SQ
ROKU
PODD
SLM
GO
ACC
ARW
PII
JBL
AES
CFR
IAA
MNST
AVLR
TTD
NBIX
ICUI
NKTR
NLY
UHAL
BRX
SBNY
NFG
FSLR
Y
SYNH
PCTY
LEG
UMPQ
SON
RL
LVS
IR
COUP
STZ
AN
ZS
HAL
FOX
QDEL
WYNN
NATI
CRUS
EPR
DOCU
KSS
DAL
GGG
AMG
RUN
VER
IART
KNX
PANW
STOR
GD
VLY
MAT
GPS
CHH
HE
OFC
GDOT
PEN
WAB
PEB
XEC
XRX
EWBC
BOH
LYV
AVT
KRC
RGEN
AEL
MAN
VVV
APO
APA
HAIN
SIRI
DISH
EQT
LECO
COHR
NNN
JEF
FNF
SGEN
PB
EXAS
FHI
CLGX
SIGI
SAM
JWA
LHCG
ACHC
FL
ACGL
OZK
WWE
TOL
SNX
SLAB
CRI
NUS
NYT
CCL
WRI
MDU
BURL
MIDD
PRG
DEI
BKI
SLGN
MRCY
FCN
HPP
WEN
BLDR
MTG
BPOP
CW
KKR
SSNC
DCI
BG
TREE
TCBI
CUZ
DELL
OLED
JBGS
ELS
RBC
SR
CVLT
FFIN
VICI
GMED
NOV
CNXC
LPLA
ITT
GBCI
VMI
ACIW
MMS
NLSN
PENN
KMPR
SBRA
WDAY
IBKR
TPR
FANG
PVH
WH
EME
INGR
XPER
TRIP
OLLI
UA
MCY
ALK
RYN
BA
HOG
AXTA
JLL
MKSI
UAA
RLI
FIVE
BLKB
HBI
SABR
VNT
PRSP
OSK
DXC
MSA
CC
NVCR
POST
RAMP
AMKR
TNL
NRZ
CZR
JWN
CLH
PRGS
AIRC
AZPN
DECK
SITC
ZNGA
RPRX
SRPT
PACW
WWD
SYNA
AVTR
HWC
DOC
INDB
BDN
IONS
PCH
VST
IDA
PCG
WERN
NJR
DAR
ELAN
SIX
XLRN
DDOG
USM
SWX
FLIR
AM
AXON
AYI
ACM
THO
HLIT
QRTEA
NWS
NEU
CMC
ASB
ESNT
TRN
CR
FULT
AXS
KDP
TXG
HELE
PLT
BYD
LGND
ALNY
COTY
WAFD
NEOG
QLYS
BKU
CIT
NSA
TKR
HXL
EXP
GWRE
CNO
NUVA
ADS
BRKR
NCLH
AVA
JBLU
CVBF
MTZ
OGS
LFUS
THC
FIVN
LAD
DBX
PK
LPX
PBH
ZEN
GH
FHB
UBER
THS
SNAP
UCBI
IIVI
FNB
VSAT
JACK
LSXMA
TRU
UBSI
DKS
CBRL
NGVT
MUSA
TTEK
DRH
INVH
FEYE
NSP
